oem,ownerNo,transmission,km,modelYear,Fuel Type,Engine Displacement,Mileage,Max Power,model,Gear Box,bt,price
Audi,2.0,Automatic,40000.0,2016.0,Diesel,1949.5,17.11,174.33,Audi A4,7.5,Sedan,1775000.0
Mahindra,2.0,Manual,79012.0,2014.0,Diesel,1949.5,15.1,140.0,Mahindra XUV500,6.0,SUV,803000.0
Jeep,1.0,Manual,31344.0,2021.0,Diesel,1949.5,17.1,167.67,Jeep Compass,6.0,SUV,1775000.0
Hyundai,1.0,Manual,50000.0,2018.0,Petrol,1197.0,20.14,81.86,Hyundai Xcent,5.0,Sedan,674000.0
Maruti,1.0,Manual,12434.0,2015.0,Petrol,998.0,20.51,67.04,Maruti Wagon R,5.0,Hatchback,349000.0
Maruti,2.0,Manual,60000.0,2019.0,Petrol,1462.0,19.34,103.0,Maruti Ertiga,5.0,MUV,1050000.0
Mercedes-Benz,1.0,Automatic,12000.0,2019.0,Diesel,1949.5,12.6,177.67499999999998,Mercedes-Benz C-Class,7.5,Sedan,1775000.0
Maruti,2.0,Manual,40987.0,2015.0,Petrol,998.0,20.51,67.04,Maruti Wagon R,5.0,Hatchback,406000.0
BMW,1.0,Automatic,18157.0,2020.0,Petrol,1949.5,15.56,177.67499999999998,BMW 5 Series,7.5,Sedan,1775000.0
Toyota,3.0,Manual,120000.0,2011.0,Diesel,1949.5,11.5,171.0,Toyota Fortuner,5.0,SUV,1100000.0
Renault,2.0,Automatic,40000.0,2020.0,Diesel,1461.0,19.87,108.5,Renault Duster,6.0,SUV,1100000.0
Hyundai,1.0,Manual,89667.0,2016.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,594000.0
Hyundai,1.0,Manual,120000.0,2017.0,Diesel,1396.0,22.54,88.73,Hyundai i20,6.0,Hatchback,710000.0
Maruti,1.0,Manual,56997.0,2017.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,5.0,Hatchback,692000.0
Hyundai,1.0,Manual,120000.0,2013.0,Petrol,1797.0,16.3,147.5,Hyundai Elantra,6.0,Sedan,650000.0
Audi,1.0,Automatic,59000.0,2015.0,Diesel,1949.5,18.53,177.67499999999998,Audi A6,7.0,Sedan,1775000.0
Maruti,1.0,Manual,18835.0,2021.0,Petrol,796.0,22.05,47.33,Maruti Alto 800,5.0,Hatchback,411000.0
Mahindra,2.0,Manual,120000.0,2010.0,Diesel,1949.5,12.05,120.0,Mahindra Scorpio,5.0,SUV,650000.0
Mini,1.0,Automatic,40000.0,2016.0,Petrol,1949.5,17.33,177.67499999999998,Mini 3 DOOR,7.0,Hatchback,1775000.0
Tata,1.0,Manual,60932.0,2019.0,Petrol,1199.0,23.84,83.83,Tata Tiago,5.0,Hatchback,610000.0
Kia,2.0,Automatic,33539.0,2020.0,Petrol,1353.0,16.5,138.08,Kia Seltos,7.0,SUV,1675000.0
Tata,2.0,Manual,66837.0,2018.0,Petrol,1199.0,23.84,84.0,Tata Tiago,5.0,Hatchback,530000.0
Mercedes-Benz,1.0,Automatic,400.0,2022.0,Diesel,1949.5,16.1,177.67499999999998,Mercedes-Benz E-Class,7.5,Sedan,1775000.0
Maruti,2.0,Manual,60000.0,2008.0,Petrol,796.0,19.7,46.3,Maruti Alto,5.0,Hatchback,250000.0
Hyundai,1.0,Manual,44285.0,2019.0,Petrol,1197.0,18.6,81.86,Hyundai i20,5.0,Hatchback,715000.0
Mercedes-Benz,2.0,Automatic,100000.0,2014.0,Diesel,1949.5,11.3,177.67499999999998,Mercedes-Benz GL-Class,7.0,SUV,1775000.0
Tata,1.0,Automatic,25000.0,2021.0,Diesel,1949.5,14.08,167.67,Tata New Safari,6.0,SUV,1775000.0
Hyundai,1.0,Manual,36735.0,2018.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,5.0,Hatchback,625000.0
Audi,1.0,Automatic,79000.0,2015.0,Diesel,1949.5,12.07,177.67499999999998,Audi Q7,7.5,SUV,1775000.0
Mahindra,2.0,Manual,120000.0,2010.0,Diesel,1949.5,12.05,120.0,Mahindra Scorpio,5.0,SUV,650000.0
Renault,1.0,Automatic,10000.0,2022.0,Petrol,999.0,22.0,67.0,Renault KWID,5.0,Hatchback,550000.0
Tata,1.0,Manual,53645.0,2018.0,Diesel,1497.0,21.5,108.5,Tata Nexon,6.0,SUV,825000.0
Hyundai,2.0,Manual,100000.0,2006.5,Petrol,1341.0,15.3,83.0,Hyundai Getz,5.0,Hatchback,220000.0
Maruti,1.0,Automatic,53982.0,2014.0,Petrol,998.0,26.68,65.71,Maruti Celerio,5.0,Hatchback,428000.0
Skoda,1.0,Manual,110000.0,2014.0,Diesel,1498.0,21.14,103.52,Skoda Rapid,5.0,Sedan,695000.0
Ford,2.0,Manual,37741.0,2019.0,Petrol,1496.0,15.9,120.69,Ford Ecosport,5.0,SUV,930000.0
Maruti,1.0,Manual,17367.0,2021.0,Petrol,796.0,22.05,47.33,Maruti Alto 800,5.0,Hatchback,455000.0
Hyundai,1.0,Manual,94000.0,2017.0,Diesel,1582.0,19.67,126.2,Hyundai Creta,6.0,SUV,1195000.0
Tata,1.0,Automatic,33700.0,2021.0,Diesel,1949.5,14.6,167.67,Tata Harrier,6.0,SUV,1775000.0
Maruti,3.0,Manual,54601.0,2014.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,442000.0
Maruti,1.0,Manual,110000.0,2018.0,Diesel,1248.0,27.999999999999996,74.0,Maruti Swift,5.0,Hatchback,690000.0
Maruti,2.0,Manual,64000.0,2017.0,Petrol,998.0,23.1,67.04,Maruti Celerio,5.0,Hatchback,500000.0
BMW,1.0,Automatic,40525.0,2016.0,Diesel,1949.5,21.76,177.67499999999998,BMW 3 Series GT,7.5,Sedan,1775000.0
Maruti,1.0,Manual,100000.0,2015.0,Diesel,1248.0,26.21,88.5,Maruti Ciaz,5.0,Sedan,650000.0
Honda,2.0,Automatic,44154.0,2016.0,Petrol,1199.0,19.0,88.7,Honda Jazz,5.0,Hatchback,537000.0
Renault,1.0,Manual,70000.0,2016.0,Diesel,1461.0,19.98,108.5,Renault Lodgy,6.0,MUV,750000.0
Skoda,1.0,Automatic,79000.0,2018.0,Petrol,1798.0,15.1,177.67499999999998,Skoda Octavia,7.0,Sedan,1775000.0
Tata,2.0,Manual,68039.0,2017.0,Petrol,1199.0,23.84,84.0,Tata Tiago,5.0,Hatchback,468000.0
Maruti,2.0,Manual,60000.0,2014.0,Petrol,1197.0,18.5,85.8,Maruti Ritz,5.0,Hatchback,420000.0
Hyundai,1.0,Manual,10000.0,2021.0,Petrol,998.0,20.0,118.36,Hyundai i20,6.0,Hatchback,920000.0
Honda,1.0,Manual,49873.0,2013.0,Petrol,1497.0,16.8,116.3,Honda City,5.0,Sedan,533000.0
Volkswagen,3.0,Automatic,90000.0,2013.0,Petrol,1197.0,17.2,103.6,Volkswagen Polo,7.0,Hatchback,850000.0
Skoda,2.0,Manual,48960.0,2017.0,Diesel,1498.0,21.13,108.6,Skoda Rapid,5.0,Sedan,751000.0
Hyundai,2.0,Manual,70000.0,2014.0,Diesel,1120.0,24.0,70.0,Hyundai Grand i10,5.0,Hatchback,388000.0
Hyundai,2.0,Manual,68000.0,2013.0,Petrol,1197.0,18.5,82.85,Hyundai i20,5.0,Hatchback,490000.0
Mahindra,1.0,Manual,23017.0,2016.0,Diesel,1198.0,25.32,77.0,Mahindra KUV 100,5.0,SUV,494000.0
Hyundai,2.0,Manual,83000.0,2013.0,Diesel,1396.0,21.27,88.76,Hyundai i20,6.0,Hatchback,525000.0
BMW,2.0,Automatic,92000.0,2016.0,Diesel,1949.5,16.55,177.67499999999998,BMW X3,7.5,SUV,1775000.0
Maruti,1.0,Manual,62139.0,2018.0,Petrol,998.0,20.51,67.04,Maruti Wagon R,5.0,Hatchback,550000.0
Hyundai,1.0,Manual,74000.0,2013.0,LPG,1086.0,19.2,68.05,Hyundai i10,5.0,Hatchback,365000.0
Renault,2.0,Automatic,26500.0,2016.0,Petrol,999.0,24.04,67.0,Renault KWID,5.0,Hatchback,420000.0
Volvo,1.0,Automatic,81716.0,2017.0,Diesel,1949.5,27.03,177.67499999999998,Volvo S60,7.5,Sedan,1775000.0
Mercedes-Benz,2.0,Automatic,24000.0,2018.0,Diesel,1949.5,17.0,177.67499999999998,Mercedes-Benz E-Class,7.5,Sedan,1775000.0
Mahindra,1.0,Automatic,10000.0,2022.0,Petrol,1197.0,17.0,108.6,Mahindra XUV300,6.0,SUV,1050000.0
MG,1.0,Automatic,18000.0,2021.0,Petrol,1451.0,16.56,141.0,MG Hector Plus,6.0,SUV,1775000.0
Honda,1.0,Manual,38197.0,2013.0,Petrol,1198.0,19.4,86.8,Honda Brio,5.0,Hatchback,394000.0
Maruti,2.0,Automatic,23000.0,2017.0,Petrol,1197.0,19.56,81.8,Maruti Baleno,3.5,Hatchback,725000.0
Maruti,1.0,Manual,50000.0,2013.0,Petrol,998.0,20.92,67.1,Maruti Alto K10,5.0,Hatchback,240000.0
Renault,1.0,Automatic,10000.0,2022.0,Petrol,999.0,19.03,71.01,Renault Kiger,5.0,SUV,835000.0
Hyundai,1.0,Manual,19000.0,2019.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,5.0,Hatchback,695000.0
Kia,1.0,Automatic,14000.0,2020.0,Petrol,1353.0,16.5,138.08,Kia Seltos,7.0,SUV,1725000.0
Hyundai,1.0,Manual,29268.0,2014.0,Petrol,814.0,21.1,55.2,Hyundai EON,5.0,Hatchback,330000.0
Volkswagen,1.0,Automatic,20000.0,2019.0,Petrol,1197.0,18.19,103.2,Volkswagen Vento,7.0,Sedan,990000.0
Toyota,1.0,Manual,30000.0,2018.0,Petrol,1496.0,17.1,105.5,Toyota Yaris,6.0,Sedan,750000.0
MG,1.0,Manual,30000.0,2021.0,Diesel,1949.5,17.41,167.68,MG Hector,6.0,SUV,1750000.0
Hyundai,1.0,Automatic,7100.0,2022.0,Petrol,1949.5,14.2,156.9,Hyundai Alcazar,6.0,SUV,1775000.0
Hyundai,1.0,Manual,43679.0,2010.0,Petrol,1086.0,19.81,68.05,Hyundai i10,5.0,Hatchback,271000.0
Hyundai,1.0,Automatic,40000.0,2018.0,Petrol,1591.0,14.8,121.3,Hyundai Creta,6.0,SUV,1280000.0
Hyundai,1.0,Manual,40562.0,2012.0,Diesel,1396.0,22.54,88.76,Hyundai i20,6.0,Hatchback,436000.0
Hyundai,2.0,Automatic,26500.0,2021.0,Petrol,1397.0,19.227390440730282,138.12,Hyundai Creta,7.0,SUV,1675000.0
Hyundai,1.0,Automatic,20000.0,2019.0,Petrol,998.0,18.15,118.35,Hyundai Venue,7.0,SUV,1250000.0
Mahindra,1.0,Automatic,58600.0,2016.0,Diesel,1949.5,16.0,140.0,Mahindra XUV500,6.0,SUV,1350000.0
Volkswagen,1.0,Automatic,42050.0,2020.0,Petrol,1498.0,18.4,147.94,Volkswagen T-Roc,7.0,SUV,1775000.0
Maruti,1.0,Automatic,65017.0,2015.0,Petrol,998.0,23.1,67.04,Maruti Celerio,5.0,Hatchback,475000.0
BMW,2.0,Automatic,80000.0,2008.0,Diesel,1949.5,13.2,170.0,BMW 3 Series,6.0,Sedan,600000.0
Jeep,1.0,Automatic,30000.0,2021.0,Petrol,1368.0,14.1,160.77,Jeep Compass,7.0,SUV,1775000.0
Kia,1.0,Automatic,20000.0,2020.0,Petrol,1353.0,16.5,138.08,Kia Seltos,7.0,SUV,1625000.0
Hyundai,3.0,Manual,80000.0,2009.0,Petrol,1197.0,20.36,78.9,Hyundai i10,5.0,Hatchback,249000.0
Audi,2.0,Automatic,30000.0,2016.0,Diesel,1949.5,14.16,174.3,Audi Q5,7.0,SUV,1775000.0
Maruti,1.0,Manual,52204.0,2017.0,Petrol,998.0,24.39,65.71,Maruti Alto K10,5.0,Hatchback,385000.0
Hyundai,3.0,Manual,110000.0,2012.0,Petrol,1197.0,17.0,80.0,Hyundai i20,5.0,Hatchback,300000.0
Ford,1.0,Automatic,89000.0,2017.0,Diesel,1949.5,10.91,177.67499999999998,Ford Endeavour,6.0,SUV,1775000.0
Maruti,2.0,Manual,29813.0,2014.0,Petrol,796.0,22.05,47.33,Maruti Alto 800,5.0,Hatchback,276000.0
Ford,1.0,Manual,30000.0,2018.0,Petrol,1196.0,18.16,86.8,Ford Figo,5.0,Hatchback,500000.0
Maruti,1.0,Automatic,13345.0,2020.0,Petrol,1197.0,20.89,81.8,Maruti Ignis,5.0,Hatchback,730000.0
Hyundai,1.0,Automatic,17100.0,2022.0,Diesel,1498.0,18.1,113.42,Hyundai Alcazar,6.0,SUV,1775000.0
Hyundai,1.0,Manual,75000.0,2014.0,Petrol,1197.0,18.9,82.0,Hyundai Grand i10,5.0,Hatchback,399000.0
Hyundai,2.0,Manual,75523.0,2011.0,Petrol,1197.0,20.36,78.9,Hyundai i10,5.0,Hatchback,312000.0
Mahindra,1.0,Manual,47000.0,2015.0,Diesel,1949.5,16.0,140.0,Mahindra XUV500,6.0,SUV,1275000.0
Tata,1.0,Manual,36500.0,2022.0,Diesel,1949.5,16.35,167.67,Tata Harrier,6.0,SUV,1775000.0
Renault,1.0,Manual,28253.0,2020.0,Petrol,999.0,20.0,71.01,Renault Triber,5.0,MUV,719000.0
Hyundai,1.0,Manual,50000.0,2016.0,Diesel,1582.0,19.67,126.2,Hyundai Creta,6.0,SUV,1260000.0
Hyundai,2.0,Manual,90000.0,2010.0,Petrol,1197.0,20.36,78.9,Hyundai i10,5.0,Hatchback,300000.0
BMW,2.0,Automatic,70000.0,2016.0,Diesel,1949.5,15.97,177.67499999999998,BMW X5,7.5,SUV,1775000.0
Hyundai,1.0,Manual,52571.0,2016.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,627000.0
BMW,2.0,Automatic,70000.0,2010.0,Diesel,1949.5,16.07,177.67499999999998,BMW 3 Series,6.0,Sedan,1300000.0
Honda,1.0,Manual,61993.0,2015.0,Petrol,1497.0,17.4,117.3,Honda City,5.0,Sedan,672000.0
Hyundai,1.0,Automatic,57000.0,2017.0,Diesel,1949.5,16.38,177.67499999999998,Hyundai Tucson,6.0,SUV,1775000.0
Toyota,2.0,Manual,80000.0,2021.0,Diesel,1949.5,14.24,174.5,Toyota Fortuner,6.0,SUV,1775000.0
Hyundai,1.0,Manual,36359.0,2013.0,Petrol,1197.0,18.5,82.85,Hyundai i20,5.0,Hatchback,440000.0
Tata,2.0,Manual,70000.0,2019.0,Diesel,1949.5,17.0,138.1,Tata Harrier,6.0,SUV,1460000.0
MG,1.0,Automatic,7500.0,2022.0,Petrol,1451.0,19.227390440730282,141.0,MG Hector,7.5,SUV,1775000.0
Hyundai,1.0,Automatic,30301.0,2017.0,Petrol,1591.0,17.0,121.3,Hyundai Verna,6.0,Sedan,1033000.0
Hyundai,1.0,Manual,66000.0,2010.0,Petrol,1197.0,20.36,78.9,Hyundai i10,5.0,Hatchback,275000.0
Hyundai,1.0,Manual,56010.0,2017.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,676000.0
Mercedes-Benz,1.0,Automatic,47000.0,2017.0,Diesel,1949.5,17.9,170.0,Mercedes-Benz GLC,7.5,SUV,1775000.0
Nissan,2.0,Manual,60000.0,2014.0,Diesel,1461.0,19.01,108.5,Nissan Terrano,6.0,SUV,650000.0
Maruti,1.0,Manual,83829.0,2014.0,Diesel,1248.0,25.2,74.0,Maruti Swift,5.0,Hatchback,444000.0
Renault,1.0,Automatic,10000.0,2020.0,Petrol,999.0,22.0,67.0,Renault KWID,5.0,Hatchback,510000.0
Renault,2.0,Automatic,35000.0,2016.0,Diesel,1461.0,19.6,108.45,Renault Duster,6.0,SUV,925000.0
Honda,2.0,Automatic,51116.0,2019.0,Petrol,1497.0,18.0,117.6,Honda City,3.5,Sedan,1024000.0
Skoda,3.0,Manual,80000.0,2016.0,Diesel,1498.0,21.14,103.52,Skoda Rapid,5.0,Sedan,500000.0
Volkswagen,2.0,Automatic,40000.0,2017.0,Petrol,1197.0,17.21,103.5,Volkswagen Polo,7.0,Hatchback,995000.0
Honda,2.0,Automatic,85565.0,2012.0,Petrol,1949.5,11.1,158.8,Honda CR-V,5.0,SUV,935000.0
Ford,1.0,Manual,36916.0,2018.0,Petrol,1497.0,17.0,121.36,Ford Ecosport,5.0,SUV,834000.0
Volkswagen,1.0,Manual,90000.0,2015.0,Diesel,1498.0,20.14,88.8,Volkswagen Polo,5.0,Hatchback,560000.0
Maruti,1.0,Manual,112795.0,2012.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,454000.0
Mercedes-Benz,1.0,Automatic,11000.0,2021.0,Petrol,1332.0,19.227390440730282,160.92,Mercedes-Benz A-Class Limousine,7.0,Sedan,1775000.0
Toyota,2.0,Manual,120000.0,2014.0,Petrol,1949.5,11.4,130.1,Toyota Innova,5.0,MUV,1100000.0
Honda,2.0,Manual,36685.0,2016.0,Petrol,1198.0,19.4,86.8,Honda Brio,5.0,Hatchback,462000.0
Hyundai,2.0,Automatic,120000.0,2012.0,Diesel,1949.5,11.72,177.67499999999998,Hyundai Santa Fe,6.0,SUV,900000.0
BMW,1.0,Automatic,4000.0,2022.0,Petrol,1949.5,13.32,177.67499999999998,BMW 6 Series,7.5,Sedan,1775000.0
Maruti,2.0,Automatic,32184.0,2019.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,3.5,Hatchback,843000.0
Maruti,1.0,Manual,32279.0,2018.0,Petrol,998.0,21.1,100.5,Maruti Baleno RS,5.0,Hatchback,799000.0
Hyundai,1.0,Manual,59698.0,2015.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,576000.0
Renault,1.0,Manual,46071.0,2018.0,Diesel,1461.0,20.37,108.45,Renault Captur,6.0,SUV,949000.0
Maruti,1.0,Manual,90000.0,2017.0,Diesel,1248.0,24.3,88.5,Maruti Vitara Brezza,5.0,SUV,795000.0
Hyundai,1.0,Manual,9554.0,2019.0,Petrol,998.0,18.27,118.35,Hyundai Venue,6.0,SUV,1085000.0
Jeep,1.0,Automatic,14000.0,2022.0,Petrol,1368.0,14.1,160.77,Jeep Compass,7.0,SUV,1775000.0
Renault,2.0,Manual,74499.0,2013.0,Diesel,1461.0,20.45,83.8,Renault Duster,5.0,SUV,516000.0
Ford,2.0,Automatic,56211.0,2017.0,Petrol,1497.0,14.8,121.36,Ford Ecosport,6.0,SUV,777000.0
Honda,1.0,Manual,9001.0,2019.0,Petrol,1199.0,18.2,88.7,Honda Jazz,5.0,Hatchback,753000.0
Mahindra,2.0,Automatic,65457.0,2017.0,Diesel,1949.5,16.0,140.0,Mahindra XUV500,6.0,SUV,1226000.0
Honda,1.0,Manual,23682.0,2017.0,Petrol,1199.0,18.7,88.7,Honda Jazz,5.0,Hatchback,725000.0
Hyundai,1.0,Manual,50000.0,2020.0,Diesel,1582.0,22.0,126.2,Hyundai Verna,6.0,Sedan,1150000.0
Maruti,2.0,Manual,134557.0,2015.0,Diesel,1248.0,25.2,74.0,Maruti Swift,5.0,Hatchback,629000.0
Maruti,2.0,Manual,96567.0,2013.0,Petrol,1197.0,22.41,88.5,Maruti Swift Dzire,5.0,Sedan,447000.0
Maruti,2.0,Manual,83007.0,2014.0,Diesel,1248.0,20.77,88.8,Maruti Ertiga,5.0,MUV,786000.0
Honda,1.0,Manual,34000.0,2018.0,Petrol,1199.0,18.7,88.7,Honda Jazz,5.0,Hatchback,745000.0
Hyundai,1.0,Automatic,81634.0,2014.0,Petrol,1197.0,18.9,82.0,Hyundai Grand i10,4.0,Hatchback,490000.0
Honda,2.0,Automatic,57284.0,2017.0,Petrol,1497.0,18.0,117.6,Honda City,3.5,Sedan,942000.0
Ford,2.0,Automatic,70000.0,2016.0,Petrol,1499.0,15.63,110.4,Ford Ecosport,6.0,SUV,675000.0
Honda,2.0,Manual,70000.0,2013.0,Petrol,1198.0,19.4,86.8,Honda Brio,5.0,Hatchback,330000.0
Toyota,2.0,Automatic,46429.0,2018.0,Petrol,1496.0,17.8,105.5,Toyota Yaris,7.0,Sedan,875000.0
Maruti,1.0,Manual,17624.0,2017.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,5.0,Hatchback,869000.0
Volkswagen,2.0,Manual,100000.0,2012.0,Diesel,1598.0,20.54,103.6,Volkswagen Vento,5.0,Sedan,425000.0
Honda,1.0,Manual,30000.0,2019.0,Petrol,1497.0,17.4,117.6,Honda City,5.0,Sedan,1070000.0
Ford,2.0,Manual,49690.0,2018.0,Petrol,1496.0,15.9,120.69,Ford Ecosport,5.0,SUV,1025000.0
Mahindra,1.0,Manual,110000.0,2016.0,Diesel,1949.5,16.0,140.0,Mahindra XUV500,6.0,SUV,1000000.0
Fiat,1.0,Manual,50000.0,2009.0,Petrol,1368.0,16.0,90.0,Fiat Linea,5.0,Sedan,375000.0
Ford,1.0,Automatic,55702.0,2018.0,Petrol,1497.0,14.8,121.36,Ford Ecosport,6.0,SUV,844000.0
Hyundai,1.0,Manual,45046.0,2016.0,Diesel,1396.0,21.19,88.73,Hyundai i20 Active,6.0,Hatchback,764000.0
Maruti,2.0,Manual,53000.0,2014.0,Petrol,1197.0,18.5,85.8,Maruti Ritz,5.0,Hatchback,420000.0
Maruti,1.0,Manual,94695.0,2016.0,Diesel,1248.0,27.39,74.0,Maruti Baleno,5.0,Hatchback,684000.0
Maruti,1.0,Manual,22162.0,2019.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,5.0,Hatchback,803000.0
Hyundai,2.0,Manual,70000.0,2010.0,Petrol,1086.0,17.92,62.1,Hyundai Santro Xing,5.0,Hatchback,320000.0
Honda,1.0,Manual,115331.0,2017.0,Diesel,1498.0,26.0,98.6,Honda City,6.0,Sedan,804000.0
Mercedes-Benz,2.0,Automatic,70000.0,2013.0,Diesel,1949.5,10.400000000000002,170.0,Mercedes-Benz E-Class,5.0,Sedan,1400000.0
Maruti,2.0,Manual,42233.0,2016.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,548000.0
Hyundai,1.0,Manual,20941.0,2019.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,5.0,Hatchback,619000.0
Maruti,2.0,Manual,50000.0,2018.0,Diesel,1248.0,24.3,88.5,Maruti Vitara Brezza,5.0,SUV,1000000.0
Honda,1.0,Manual,46602.0,2018.0,Petrol,1199.0,17.5,88.7,Honda WR-V,5.0,SUV,865000.0
Mahindra,2.0,Automatic,50000.0,2014.0,Diesel,1949.5,11.18,177.67499999999998,Mahindra Ssangyong Rexton,5.0,SUV,1000000.0
Maruti,2.0,Manual,104000.0,2014.0,Diesel,1248.0,25.2,74.0,Maruti Swift,5.0,Hatchback,535000.0
Ford,1.0,Manual,90000.0,2018.0,Diesel,1498.0,23.0,98.96,Ford Ecosport,5.0,SUV,975000.0
Maruti,1.0,Manual,50035.0,2017.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,5.0,Hatchback,699000.0
Tata,1.0,Manual,80000.0,2021.0,Petrol,1199.0,17.57,118.36,Tata Nexon,6.0,SUV,1150000.0
Hyundai,2.0,Manual,90000.0,2015.0,Petrol,1197.0,18.6,81.83,Hyundai i20,5.0,Hatchback,625000.0
Mercedes-Benz,3.5,Automatic,90000.0,2011.0,Diesel,1949.5,14.21,177.67499999999998,Mercedes-Benz E-Class,5.0,Sedan,1000000.0
Toyota,1.0,Manual,120000.0,2011.0,Diesel,1364.0,21.43,87.2,Toyota Corolla Altis,6.0,Sedan,600000.0
Maruti,1.0,Manual,25170.0,2015.0,Petrol,1197.0,22.41,88.5,Maruti Swift Dzire,5.0,Sedan,675000.0
